# company number	Partner 1	Partner 2	Partner 3	Partner 4
449	Michael Utkin	Vladimir Utkin		
450				
451	SHIFT I	Port of Amsterdam	Amsterdams Klimaat en Energiefonds	
452	EDP Renewables	Persistent Energy Partners		
453				
454	IPF Partners			
455				
456				
457				
458				
459				
460				
461				
462				
463				
464	Dura Vermeer	Daan van der Vorm	Impact Vastgoed	Eddy Smit
465				
466	Horizon 2020	Van Herk Ventures	Thuja Capital	
467	New Science Ventures	BioGeneration Ventures		
468				
469	Idinvest Partners	Life Sciences Partners	Abingworth	Prosensa
470				
471				
472				
473				
474				
475				
476				
477				
478				
479	Startupbootcamp Amsterdam			
480				
481				
482	EASME - EU Executive Agency for SMEs			
483				
484				
485				
486				
487	3TS Capital Partners	MCI Capital SA		
488				
489	Bas Godska	Fly Ventures	River Venture Partners	
490	Startupbootcamp FoodTech Rome			
491				
492				
493				
494				
495				
496	henQ	INKEF Capital	SBRI Healthcare	Rabo Ventures
497				
498				
499				
500				
501	Startupbootcamp Amsterdam			
502	InnovationQuarter			
503	EASME - EU Executive Agency for SMEs			
504				
505				
506				
507				
508	Rockstart AI	Igor van Eck	Ahmed Abushanab	
509				
510	Connected Capital			
511				
512				
513	Chivas Venture	UNIIQ		
514				
515	Backed VC	BlueYard Capital	Atlantic Food Labs	Future Positive Capital
516				
517	Aquiline Technology Growth			
518	FJ Labs	Felix Capital	DN Capital	Axel Springer Digital Ventures
519				
520	Brightlands Venture Partners	Startupbootcamp Smart Materials	ReumaNederland	
521	PDENH			
522				
523	Brightlands Venture Partners	Fransen Gerrits		
524	Wemanity			
525				
526				
527				
528	Mainport Innovation Fund			
529				
530				
531	DHG Holding			
532				
533				
534				
535	FD Mediagroep	Floris Rost van Tonningen	Marque Joosten	Patrick Kerssemakers
536				
537				
538				
539				
540				
541				
542				
543	General Catalyst	Bessemer Venture Partners	Nexus Venture Partners	DN Capital
544				
545				
546	Orlaco			
547	Ingenium Slovenia Fund			
548				
549				
550				
551				
552				
553				
554	MONOGRAM Ventures	Ivan Stefunko		
555				
556	River Venture Partners			
557				
558				
559	Hampus Jakobsson	Archer Gray	Startupbootcamp Smart Transportation & Energy Berlin	Linden Mobile Ventures
560				
561				
562				
563	SHIFT Invest	Limburgse Reconversie Maatschappij	Chemelot Ventures	Limburg Ventures
564				
565				
566				
567				
568	Start-Up Chile	CORFO		
569				
570				
571				
572				
573				
574				
575	World Startup Factory			
